Programacao 1, 4, 3, OBRIGATORIA, Convencional, 1, -
Lab. de Programacao 1, 4, 3, OBRIGATORIA, ComEliminacao, 1, -
Introducao a Computacao, 4, 3, OBRIGATORIA, Convencional, 1, -
Calculo Dif. e Int. 1, 4, 3, OBRIGATORIA, Convencional, 1, -
Algebra Vet. e Geom. Analitica, 4, 3, OBRIGATORIA, Convencional, 1, -
Leitura e Producao Textual, 4, 3, OBRIGATORIA, Convencional, 1, -
Matematica Discreta, 4, 3, OBRIGATORIA, Convencional, 1, -
Gerencia da Informacao, 4, 3, OBRIGATORIA, Convencional, 1, -
Informatica e Sociedade, 2, 2, OBRIGATORIA, Convencional, 1, -
Direito e Cidadania, 4, 3, OBRIGATORIA, Convencional, 1, -
Programacao 2, 4, 3, OBRIGATORIA, Convencional, 1, Programacao 1-Lab. de Programacao 1-Introducao a Computacao
Lab. de Programacao 2, 4, 5, OBRIGATORIA, ComEliminacao, 1, Programacao 1-Lab. de Programacao 1-Introducao a Computacao
Teoria dos Grafos, 2, 2, OBRIGATORIA, Convencional, 1, Programacao 1-Lab. de Programacao 1
Calculo Dif. e Int. 2, 4, 3, OBRIGATORIA, Convencional, 1, Calculo Dif. e Int. 1-
Fundamentos de Fisica Classica, 4, 4, OBRIGATORIA, ComEliminacao, 1, Calculo Dif. e Int. 1-Algebra Vet. e Geom. Analitica
Estruturas de Dados e Algoritmos, 4, 3, OBRIGATORIA, Convencional, 1, Lab. de Programacao 2-Programacao 2-Teoria dos Grafos
Lab. Estruturas de Dados e Algoritmos, 4, 3, OBRIGATORIA, Convencional, 1, Lab. de Programacao 2-Programacao 2-Teoria dos Grafos
Algebra Linear, 4, 3, OBRIGATORIA, Convencional, 1, Algebra Vet. e Geom. Analitica-
Probabilidade e Estatistica, 4, 3, OBRIGATORIA, Convencional, 1, Calculo Dif. e Int. 2-
Teoria da Computacao, 4, 3, OBRIGATORIA, Convencional, 1, Introducao a Computacao-Matematica Discreta-Teoria dos Grafos
Fundamentos de Fisica Moderna, 4, 4, OBRIGATORIA, ComEliminacao, 1, Calculo Dif. e Int. 2-Fundamentos de Fisica Classica
Metodos Estatisticos, 4, 3, OBRIGATORIA, Convencional, 1, Algebra Linear-Probabilidade e Estatistica
Metodologia Cientifica, 4, 3, OBRIGATORIA, Convencional, 1, Metodos Estatisticos-
Paradigmas de Linguagens de Programacao, 2, 2, OBRIGATORIA, Convencional, 1, Estruturas de Dados e Algoritmos-Lab. Estruturas de Dados e Algoritmos-Teoria da Computacao
Logica Matematica, 4, 3, OBRIGATORIA, Convencional, 1, Teoria da Computacao-
Organizacao e Arquit. de Computadores, 4, 3, OBRIGATORIA, Convencional, 1, Estruturas de Dados e Algoritmos-Lab. Estruturas de Dados e Algoritmos-Fundamentos de Fisica Moderna
Lab. Organ. e Arquit. de Computadores, 4, 4, OBRIGATORIA, Convencional, 1, Estruturas de Dados e Algoritmos-Lab. Estruturas de Dados e Algoritmos-Fundamentos de Fisica Moderna
Engenharia de Software 1, 4, 3, OBRIGATORIA, Convencional, 1, Lab. de Programacao 2-Programacao 2-Probabilidade e Estatistica
Sistemas de Informacao 1, 4, 3, OBRIGATORIA, Convencional, 1, Gerencia da Informacao-
